,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
QB,0,Jalen,Hurts,PHI,5,408.9,332,504,"3,777",22,660,11,,,,,,,,,,,,,,
QB,1,Josh,Allen,BUF,12,402.6,364,560,"4,090",25,501,8,,,,,,,,,,,,,,
QB,2,Patrick,Mahomes,KC,6,388.1,384,573,"4,295",31,373,2,,,,,,,,,,,,,,
QB,3,Lamar,Jackson,BAL,14,371.9,287,441,"3,440",23,779,5,,,,,,,,,,,,,,
QB,4,Dak,Prescott,DAL,7,367.3,386,567,"4,255",30,225,2,,,,,,,,,,,,,,
QB,5,Joe,Burrow,CIN,12,355.8,390,582,"4,245",28,195,2,,,,,,,,,,,,,,
QB,6,C.J.,Stroud,HOU,14,351.7,364,560,"4,255",27,189,2,,,,,,,,,,,,,,
QB,7,Anthony,Richardson,IND,14,349.9,320,501,"3,454",18,572,8,,,,,,,,,,,,,,
QB,8,Brock,Purdy,SF,9,347.5,345,508,"4,060",29,165,2,,,,,,,,,,,,,,
QB,9,Kyler,Murray,ARI,11,344.1,339,514,"3,752",21,485,4,,,,,,,,,,,,,,
QB,10,Trevor,Lawrence,JAC,12,340.6,371,571,"4,055",22,318,3,,,,,,,,,,,,,,
QB,11,Jordan,Love,GB,10,339.8,354,544,"3,920",27,238,2,,,,,,,,,,,,,,
QB,12,Jared,Goff,DET,5,335.5,388,579,"4,340",27,45,1,,,,,,,,,,,,,,
QB,13,Tua,Tagovailoa,MIA,6,332.2,368,541,"4,330",27,77,0,,,,,,,,,,,,,,
QB,14,Caleb,Williams,CHI,7,330.6,358,551,"3,857",23,337,2,,,,,,,,,,,,,,
QB,15,Jayden,Daniels,WAS,14,326.8,328,529,"3,544",18,536,4,,,,,,,,,,,,,,
QB,16,Deshaun,Watson,CLE,10,322.5,329,530,"3,656",21,377,3,,,,,,,,,,,,,,
QB,17,Baker,Mayfield,TB,11,319.6,353,569,"3,982",25,145,1,,,,,,,,,,,,,,
QB,18,Justin,Herbert,LAC,5,311.4,350,530,"3,658",23,245,2,,,,,,,,,,,,,,
QB,19,Kirk,Cousins,ATL,12,308.2,332,518,"3,888",25,78,1,,,,,,,,,,,,,,
QB,20,Will,Levis,TEN,5,307.5,328,529,"3,807",23,131,2,,,,,,,,,,,,,,
QB,21,Aaron,Rodgers,NYJ,12,306.2,371,554,"3,880",26,82,0,,,,,,,,,,,,,,
QB,22,Matthew,Stafford,LAR,6,306.1,348,535,"4,015",25,53,0,,,,,,,,,,,,,,
QB,23,Geno,Smith,SEA,10,299.1,328,504,"3,631",22,235,1,,,,,,,,,,,,,,
QB,24,Derek,Carr,NO,12,289.5,360,537,"3,760",24,55,0,,,,,,,,,,,,,,
QB,25,Bryce,Young,CAR,11,286.3,350,556,"3,556",19,265,1,,,,,,,,,,,,,,
QB,26,Daniel,Jones,NYG,11,279.6,304,468,"3,181",15,425,3,,,,,,,,,,,,,,
QB,27,Russell,Wilson,PIT,9,257.5,270,429,"2,871",18,299,2,,,,,,,,,,,,,,
QB,28,Drake,Maye,NE,14,251.3,266,428,"2,956",16,275,2,,,,,,,,,,,,,,
QB,29,Bo,Nix,DEN,14,239.5,289,467,"3,035",16,177,1,,,,,,,,,,,,,,
QB,30,J.J.,McCarthy,MIN,6,185.8,213,333,"2,365",12,135,1,,,,,,,,,,,,,,
QB,31,Gardner,Minshew,LV,10,181,220,349,"2,306",13,77,1,,,,,,,,,,,,,,
QB,32,Sam,Darnold,MIN,6,156.1,166,267,"1,872",12,85,1,,,,,,,,,,,,,,
QB,33,Aidan,OConnell,LV,10,135.1,174,277,"1,798",10,52,0,,,,,,,,,,,,,,
QB,34,Justin,Fields,PIT,9,102.8,76,125,865,5,275,2,,,,,,,,,,,,,,
QB,35,Jacoby,Brissett,NE,14,79.6,90,141,956,7,38,0,,,,,,,,,,,,,,
QB,36,Drew,Lock,NYG,11,60.4,58,91,685,6,21,0,,,,,,,,,,,,,,
QB,37,Sam,Howell,SEA,10,53,61,96,655,4,42,0,,,,,,,,,,,,,,
QB,38,Jarrett,Stidham,DEN,14,51.9,56,90,655,4,31,0,,,,,,,,,,,,,,
QB,39,Joe,Flacco,IND,14,35.9,39,61,455,3,11,0,,,,,,,,,,,,,,
QB,40,Jake,Browning,CIN,12,34.3,36,56,402,3,22,0,,,,,,,,,,,,,,
QB,41,Desmond,Ridder,ARI,11,28.9,32,51,375,2,21,0,,,,,,,,,,,,,,
QB,42,Tyson,Bagent,CHI,7,27.4,31,49,355,2,16,0,,,,,,,,,,,,,,
QB,43,Jimmy,Garoppolo,LAR,6,26.9,32,51,356,2,11,0,,,,,,,,,,,,,,
QB,44,Jameis,Winston,CLE,10,26.9,33,51,356,2,11,0,,,,,,,,,,,,,,
QB,45,Tyrod,Taylor,NYJ,12,24,26,41,281,2,19,0,,,,,,,,,,,,,,
QB,46,Mason,Rudolph,TEN,5,23.7,24,40,285,2,14,0,,,,,,,,,,,,,,
QB,47,Marcus,Mariota,WAS,14,22.3,22,35,241,2,22,0,,,,,,,,,,,,,,
QB,48,Sean,Clifford,GB,10,21.8,22,35,245,2,15,0,,,,,,,,,,,,,,
QB,49,Case,Keenum,HOU,14,20.1,20,32,223,2,9,0,,,,,,,,,,,,,,
QB,50,Joshua,Dobbs,SF,9,20.1,24,39,285,1,18,0,,,,,,,,,,,,,,
QB,51,Easton,Stick,LAC,5,19.7,16,26,185,2,24,0,,,,,,,,,,,,,,
QB,52,Michael,Penix,ATL,12,18.4,22,35,255,1,16,0,,,,,,,,,,,,,,
QB,53,Mac,Jones,JAC,12,18.2,25,37,266,1,9,0,,,,,,,,,,,,,,
QB,54,Kenny,Pickett,PHI,5,17.9,23,37,265,1,6,0,,,,,,,,,,,,,,
QB,55,Josh,Johnson,BAL,14,16.6,20,32,235,1,8,0,,,,,,,,,,,,,,
QB,56,Mitchell,Trubisky,BUF,12,15.6,20,30,216,1,8,0,,,,,,,,,,,,,,
QB,57,Cooper,Rush,DAL,7,13.9,16,26,188,1,5,0,,,,,,,,,,,,,,
QB,58,Kyle,Trask,TB,11,13.8,17,27,195,1,0,0,,,,,,,,,,,,,,
QB,59,Carson,Wentz,KC,6,12.7,15,25,165,1,4,0,,,,,,,,,,,,,,
QB,60,Mike,White,MIA,6,10.3,10,17,115,1,5,0,,,,,,,,,,,,,,
QB,61,Andy,Dalton,CAR,11,9.9,10,15,113,1,2,0,,,,,,,,,,,,,,
QB,62,Hendon,Hooker,DET,5,5.8,9,14,108,0,4,0,,,,,,,,,,,,,,
RB,0,Christian,McCaffrey,SF,9,341.4,,,,,"1,289",11,258,67,555,4,,,,,,,,,,
RB,1,Bijan,Robinson,ATL,12,286,,,,,"1,055",7,224,67,535,3,,,,,,,,,,
RB,2,Breece,Hall,NYJ,12,283.8,,,,,"1,080",7,235,66,498,3,,,,,,,,,,
RB,3,Jonathan,Taylor,IND,14,255.3,,,,,"1,122",9,255,45,321,2,,,,,,,,,,
RB,4,Kyren,Williams,LAR,6,250.4,,,,,"1,165",10,248,37,249,2,,,,,,,,,,
RB,5,Rachaad,White,TB,11,246.8,,,,,916,5,241,61,462,3,,,,,,,,,,
RB,6,James,Cook,BUF,12,240.3,,,,,"1,082",4,225,48,421,3,,,,,,,,,,
RB,7,Saquon,Barkley,PHI,5,235.6,,,,,"1,037",7,247,46,319,2,,,,,,,,,,
RB,8,Travis,Etienne,JAC,12,235.2,,,,,"1,077",7,256,44,355,1,,,,,,,,,,
RB,9,Alvin,Kamara,NO,12,234.7,,,,,788,5,197,66,479,2,,,,,,,,,,
RB,10,Jahmyr,Gibbs,DET,5,230,,,,,899,8,180,47,331,2,,,,,,,,,,
RB,11,Derrick,Henry,BAL,14,228.7,,,,,"1,099",11,250,27,198,1,,,,,,,,,,
RB,12,Isiah,Pacheco,KC,6,218,,,,,"1,055",7,224,35,235,2,,,,,,,,,,
RB,13,Josh,Jacobs,GB,10,215.3,,,,,956,6,228,46,317,1,,,,,,,,,,
RB,14,Joe,Mixon,HOU,14,211.8,,,,,945,6,230,40,293,2,,,,,,,,,,
RB,15,DeVon,Achane,MIA,6,211,,,,,945,6,172,39,295,2,,,,,,,,,,
RB,16,Aaron,Jones,MIN,6,210.1,,,,,888,5,202,46,333,2,,,,,,,,,,
RB,17,Zamir,White,LV,10,203.6,,,,,969,6,231,38,267,1,,,,,,,,,,
RB,18,Kenneth,Walker,SEA,10,202.5,,,,,961,8,229,29,234,1,,,,,,,,,,
RB,19,Raheem,Mostert,MIA,6,200,,,,,868,10,185,28,192,1,,,,,,,,,,
RB,20,Najee,Harris,PIT,9,199.6,,,,,"1,010",7,253,31,196,1,,,,,,,,,,
RB,21,David,Montgomery,DET,5,199,,,,,955,10,212,22,155,1,,,,,,,,,,
RB,22,Rhamondre,Stevenson,NE,14,195.6,,,,,845,6,206,42,271,1,,,,,,,,,,
RB,23,Tyjae,Spears,TEN,5,190.8,,,,,582,3,127,57,456,2,,,,,,,,,,
RB,24,DAndre,Swift,CHI,7,189.8,,,,,833,5,181,39,255,2,,,,,,,,,,
RB,25,Jaylen,Warren,PIT,9,187.4,,,,,714,4,155,47,330,2,,,,,,,,,,
RB,26,Javonte,Williams,DEN,14,187,,,,,775,4,189,46,275,2,,,,,,,,,,
RB,27,Brian,Robinson,WAS,14,184.7,,,,,836,5,204,32,271,2,,,,,,,,,,
RB,28,James,Conner,ARI,11,183.1,,,,,875,6,208,32,216,1,,,,,,,,,,
RB,29,Ezekiel,Elliott,DAL,7,171.8,,,,,727,6,186,35,221,1,,,,,,,,,,
RB,30,Devin,Singletary,NYG,11,171.7,,,,,759,4,185,39,268,1,,,,,,,,,,
RB,31,Tony,Pollard,TEN,5,170.3,,,,,655,5,156,41,278,1,,,,,,,,,,
RB,32,Austin,Ekeler,WAS,14,163,,,,,455,3,117,49,385,2,,,,,,,,,,
RB,33,Gus,Edwards,LAC,5,160.6,,,,,855,7,199,18,151,0,,,,,,,,,,
RB,34,Zack,Moss,CIN,12,159,,,,,727,6,169,26,183,1,,,,,,,,,,
RB,35,Jonathon,Brooks,CAR,11,157.1,,,,,735,5,171,27,206,1,,,,,,,,,,
RB,36,Chase,Brown,CIN,12,149,,,,,526,4,122,34,264,2,,,,,,,,,,
RB,37,Nick,Chubb,CLE,10,144.1,,,,,776,6,162,17,135,0,,,,,,,,,,
RB,38,J.K.,Dobbins,LAC,5,135,,,,,613,3,125,28,217,1,,,,,,,,,,
RB,39,Ty,Chandler,MIN,6,134.6,,,,,645,4,150,23,171,1,,,,,,,,,,
RB,40,Zach,Charbonnet,SEA,10,130.1,,,,,511,3,116,33,220,1,,,,,,,,,,
RB,41,Tyler,Allgeier,ATL,12,123.8,,,,,517,4,129,24,181,1,,,,,,,,,,
RB,42,Antonio,Gibson,NE,14,122.2,,,,,467,2,111,33,245,1,,,,,,,,,,
RB,43,Jaleel,McLaughlin,DEN,14,109.5,,,,,464,3,97,27,181,0,,,,,,,,,,
RB,44,Trey,Benson,ARI,11,102.4,,,,,455,3,106,19,139,1,,,,,,,,,,
RB,45,Blake,Corum,LAR,6,102,,,,,427,3,97,24,173,0,,,,,,,,,,
RB,46,Chuba,Hubbard,CAR,11,100.9,,,,,454,3,111,22,155,0,,,,,,,,,,
RB,47,Kendre,Miller,NO,12,97.7,,,,,338,2,85,27,189,1,,,,,,,,,,
