,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
QB,0,Josh,Allen,BUF,17,430.6,385,579,4306,29,524,15,111,,,,,,,,,,,,,,
QB,1,Jalen,Hurts,PHI,17,396.8,352,538,3858,23,605,15,157,,,,,,,,,,,,,,
QB,2,Dak,Prescott,DAL,17,360.8,410,590,4516,36,242,2,55,,,,,,,,,,,,,,
QB,3,Lamar,Jackson,BAL,16,355.2,307,457,3678,24,821,5,148,,,,,,,,,,,,,,
QB,4,Jordan,Love,GB,17,343.1,372,579,4159,32,247,4,50,,,,,,,,,,,,,,
QB,5,Brock,Purdy,SF,16,321.6,308,444,4280,31,144,2,39,,,,,,,,,,,,,,
QB,6,Jared,Goff,DET,17,317.1,407,605,4575,30,21,2,32,,,,,,,,,,,,,,
QB,7,Patrick,Mahomes,KC,16,314.2,401,597,4183,27,389,0,75,,,,,,,,,,,,,,
QB,8,Tua,Tagovailoa,MIA,17,308.4,388,560,4624,29,74,0,35,,,,,,,,,,,,,,
QB,9,Trevor,Lawrence,JAC,16,302.5,370,564,4016,21,339,4,70,,,,,,,,,,,,,,
QB,10,Sam,Howell,WAS,17,298.1,388,612,3946,21,263,5,48,,,,,,,,,,,,,,
QB,11,Baker,Mayfield,TB,17,296.1,364,566,4044,28,163,1,62,,,,,,,,,,,,,,
QB,12,C.J.,Stroud,HOU,15,291,319,499,4108,23,167,3,39,,,,,,,,,,,,,,
QB,13,Russell,Wilson,DEN,15,278.9,297,447,3070,26,341,3,80,,,,,,,,,,,,,,
QB,14,Matthew,Stafford,LAR,15,261.1,326,521,3965,24,65,0,21,,,,,,,,,,,,,,
QB,15,Derek,Carr,NO,17,259.1,375,548,3878,25,40,0,32,,,,,,,,,,,,,,
QB,16,Justin,Fields,CHI,13,256.2,227,370,2562,16,657,4,124,,,,,,,,,,,,,,
