,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
QB,0,Jalen,Hurts,PHI,5,408.9,332.0,504.0,"3,777",22.0,660,11.0,,,,,,,,,,,,,,
QB,1,Josh,Allen,BUF,12,402.6,364.0,560.0,"4,090",25.0,501,8.0,,,,,,,,,,,,,,
QB,2,Patrick,Mahomes,KC,6,388.1,384.0,573.0,"4,295",31.0,373,2.0,,,,,,,,,,,,,,
QB,3,Lamar,Jackson,BAL,14,371.9,287.0,441.0,"3,440",23.0,779,5.0,,,,,,,,,,,,,,
QB,4,Dak,Prescott,DAL,7,367.3,386.0,567.0,"4,255",30.0,225,2.0,,,,,,,,,,,,,,
QB,5,Joe,Burrow,CIN,12,355.8,390.0,582.0,"4,245",28.0,195,2.0,,,,,,,,,,,,,,
QB,6,C.J.,Stroud,HOU,14,351.7,364.0,560.0,"4,255",27.0,189,2.0,,,,,,,,,,,,,,
QB,7,Anthony,Richardson,IND,14,349.9,320.0,501.0,"3,454",18.0,572,8.0,,,,,,,,,,,,,,
QB,8,Brock,Purdy,SF,9,347.5,345.0,508.0,"4,060",29.0,165,2.0,,,,,,,,,,,,,,
QB,9,Kyler,Murray,ARI,11,344.1,339.0,514.0,"3,752",21.0,485,4.0,,,,,,,,,,,,,,
QB,10,Trevor,Lawrence,JAC,12,340.6,371.0,571.0,"4,055",22.0,318,3.0,,,,,,,,,,,,,,
QB,11,Jordan,Love,GB,10,339.8,354.0,544.0,"3,920",27.0,238,2.0,,,,,,,,,,,,,,
QB,13,Tua,Tagovailoa,MIA,6,332.2,368.0,541.0,"4,330",27.0,77,0.0,,,,,,,,,,,,,,
QB,14,Caleb,Williams,CHI,7,330.6,358.0,551.0,"3,857",23.0,337,2.0,,,,,,,,,,,,,,
QB,15,Jayden,Daniels,WAS,14,326.8,328.0,529.0,"3,544",18.0,536,4.0,,,,,,,,,,,,,,
QB,16,Deshaun,Watson,CLE,10,322.5,329.0,530.0,"3,656",21.0,377,3.0,,,,,,,,,,,,,,
QB,17,Baker,Mayfield,TB,11,319.6,353.0,569.0,"3,982",25.0,145,1.0,,,,,,,,,,,,,,
QB,18,Justin,Herbert,LAC,5,311.4,350.0,530.0,"3,658",23.0,245,2.0,,,,,,,,,,,,,,
QB,19,Kirk,Cousins,ATL,12,308.2,332.0,518.0,"3,888",25.0,78,1.0,,,,,,,,,,,,,,
QB,20,Will,Levis,TEN,5,307.5,328.0,529.0,"3,807",23.0,131,2.0,,,,,,,,,,,,,,
QB,21,Aaron,Rodgers,NYJ,12,306.2,371.0,554.0,"3,880",26.0,82,0.0,,,,,,,,,,,,,,
QB,22,Matthew,Stafford,LAR,6,306.1,348.0,535.0,"4,015",25.0,53,0.0,,,,,,,,,,,,,,
QB,23,Geno,Smith,SEA,10,299.1,328.0,504.0,"3,631",22.0,235,1.0,,,,,,,,,,,,,,
QB,24,Derek,Carr,NO,12,289.5,360.0,537.0,"3,760",24.0,55,0.0,,,,,,,,,,,,,,
QB,25,Bryce,Young,CAR,11,286.3,350.0,556.0,"3,556",19.0,265,1.0,,,,,,,,,,,,,,
QB,26,Daniel,Jones,NYG,11,279.6,304.0,468.0,"3,181",15.0,425,3.0,,,,,,,,,,,,,,
QB,27,Russell,Wilson,PIT,9,257.5,270.0,429.0,"2,871",18.0,299,2.0,,,,,,,,,,,,,,
QB,28,Drake,Maye,NE,14,251.3,266.0,428.0,"2,956",16.0,275,2.0,,,,,,,,,,,,,,
QB,29,Bo,Nix,DEN,14,239.5,289.0,467.0,"3,035",16.0,177,1.0,,,,,,,,,,,,,,
QB,30,J.J.,McCarthy,MIN,6,185.8,213.0,333.0,"2,365",12.0,135,1.0,,,,,,,,,,,,,,
QB,31,Gardner,Minshew,LV,10,181.0,220.0,349.0,"2,306",13.0,77,1.0,,,,,,,,,,,,,,
QB,32,Sam,Darnold,MIN,6,156.1,166.0,267.0,"1,872",12.0,85,1.0,,,,,,,,,,,,,,
QB,33,Aidan,OConnell,LV,10,135.1,174.0,277.0,"1,798",10.0,52,0.0,,,,,,,,,,,,,,
QB,34,Justin,Fields,PIT,9,102.8,76.0,125.0,865,5.0,275,2.0,,,,,,,,,,,,,,
QB,35,Jacoby,Brissett,NE,14,79.6,90.0,141.0,956,7.0,38,0.0,,,,,,,,,,,,,,
QB,36,Drew,Lock,NYG,11,60.4,58.0,91.0,685,6.0,21,0.0,,,,,,,,,,,,,,
QB,37,Sam,Howell,SEA,10,53.0,61.0,96.0,655,4.0,42,0.0,,,,,,,,,,,,,,
QB,38,Jarrett,Stidham,DEN,14,51.9,56.0,90.0,655,4.0,31,0.0,,,,,,,,,,,,,,
QB,39,Joe,Flacco,IND,14,35.9,39.0,61.0,455,3.0,11,0.0,,,,,,,,,,,,,,
QB,40,Jake,Browning,CIN,12,34.3,36.0,56.0,402,3.0,22,0.0,,,,,,,,,,,,,,
